hs6_code,ucc_code,ucc_description,map_weight,confidence_level
020990,060110,FRESH AND FROZEN WHOLE CHICKEN,0.2325,HIGH
020990,060210,FRESH AND FROZEN CHICKEN PARTS,0.2325,HIGH
020990,160211,FATS AND OILS,0.2325,HIGH
020990,060310,OTHER POULTRY,0.1907,MEDIUM-HIGH
020990,050410,LAMB AND ORGAN MEATS,0.1118,MEDIUM
021011,040410,OTHER PORK,0.6173,HIGH
021011,040210,PORK CHOPS,0.3827,MEDIUM
021012,040110,BACON,0.3785,HIGH
021012,040410,OTHER PORK,0.3785,HIGH
021012,040210,PORK CHOPS,0.243,MEDIUM-HIGH
021019,040410,OTHER PORK,0.3249,HIGH
021019,040110,BACON,0.2846,HIGH
021019,040210,PORK CHOPS,0.2086,MEDIUM-HIGH
021019,050410,LAMB AND ORGAN MEATS,0.1819,MEDIUM
021020,030810,OTHER BEEF,0.3957,HIGH
021020,030110,GROUND BEEF,0.3957,HIGH
021020,050410,LAMB AND ORGAN MEATS,0.2086,MEDIUM
021091,180210,FROZEN MEALS,0.503,HIGH
021091,050410,LAMB AND ORGAN MEATS,0.497,HIGH
021092,180210,FROZEN MEALS,0.5159,MEDIUM-HIGH
021092,050410,LAMB AND ORGAN MEATS,0.4841,MEDIUM-HIGH
021093,180210,FROZEN MEALS,0.503,HIGH
021093,050410,LAMB AND ORGAN MEATS,0.497,HIGH
021099,180210,FROZEN MEALS,0.2731,HIGH
021099,050410,LAMB AND ORGAN MEATS,0.2721,HIGH
021099,060110,FRESH AND FROZEN WHOLE CHICKEN,0.1516,HIGH
021099,060210,FRESH AND FROZEN CHICKEN PARTS,0.1516,HIGH
021099,060310,OTHER POULTRY,0.1516,HIGH
030111,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030111,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030111,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030119,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030119,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030119,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030191,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030191,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030191,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030193,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030193,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030193,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030199,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM-HIGH
