level1,level2,description,ucc_code
1,5,ELECTRICITY (OWNED VACATION),260113
1,5,ELECTRICITY (RENTED VACATION),260114
1,5,UTILITY-NATURAL GAS (RENTER),260211
1,5,UTILITY-NATURAL GAS (OWNED HOME),260212
1,5,UTILITY-NATURAL GAS (OWNED VACATION),260213
1,5,UTILITY-NATURAL GAS (RENTED VACATION),260214
1,5,CELLULAR PHONE SERVICE,270102
1,6,PHONE CARDS,270104
1,6,RESIDENTIAL TELEPHONE INCLUDING VOIP,270106
1,6,WATER/SEWER MAINT. (RENTER),270211
1,6,WATER/SEWER MAINT. (OWNED HOME),270212
1,6,WATER/SEWER MAINT. (OWNED VACATION),270213
1,6,WATER/SEWER MAINT. (RENTED VACATION),270214
1,4,CABLE AND SATELLITE TELEVISION SERVICES,270310
1,4,SATELLITE RADIO SERVICE,270311
1,6,TRASH/GARB. COLL. (RENTER),270411
1,6,TRASH/GARB. COLL. (OWNED HOME),270412
1,6,TRASH/GARB. COLL. (OWNED VACATION),270413
1,6,TRASH/GARB. COLL. (RENTED VACATION),270414
1,6,SEPTIC TANK CLEAN. (RENTER),270901
1,6,SEPTIC TANK CLEAN. (OWNED HOME),270902
1,6,SEPTIC TANK CLEAN. (OWNED VACATION),270903
1,6,SEPTIC TANK CLEAN. (RENTED VACATION),270904
1,5,BATHROOM LINENS,280110
1,5,BEDROOM LINENS,280120
1,5,"KITCHEN, DINING ROOM, OTHER LINENS",280140
1,5,CURTAINS AND DRAPERIES,280210
1,5,"SLIPCOVERS, DECORATIVE PILLOWS",280220
1,5,MATTRESS AND SPRINGS,290110
1,5,OTHER BEDROOM FURNITURE,290120
1,5,SOFAS,290210
1,5,LIVING ROOM CHAIRS,290310
1,5,LIVING ROOM TABLES,290320
1,5,"KITCHEN, DINING ROOM FURNITURE",290410
1,5,INFANTS'' FURNITURE,290420
1,5,OUTDOOR FURNITURE,290430
1,5,"WALL UNITS, CABINETS AND OTHER OCCASIONAL FURNITURE",290440
1,5,"REFRIGERATORS, FREEZERS (RENTER)",300111
1,5,"REFRIGERATORS, FREEZERS (OWNED HOME)",300112
1,5,CLOTHES WASHER OR DRYER (RENTER),300216
1,5,CLOTHES WASHER OR DRYER (OWNED HOME),300217
1,5,"COOKING STOVES, OVENS (RENTER)",300311
1,5,"COOKING STOVES, OVENS (OWNED HOME)",300312
1,5,MICROWAVE OVENS (RENTER),300321
1,5,MICROWAVE OVENS (OWNED HOME),300322
1,5,PORTABLE DISHWASHER (RENTER),300331
1,5,PORTABLE DISHWASHER (OWNED HOME),300332
1,5,WINDOW AIR CONDITIONERS (RENTER),300411
1,5,WINDOW AIR CONDITIONERS (OWNED HOME),300412
1,5,MISCELLANEOUS HOUSEHOLD APPLIANCES,300900
1,4,TELEVISIONS,310140
1,4,VCR''S AND VIDEO DISC PLAYERS,310210
1,4,"VIDEO CASSETTES, TAPES, AND DISCS",310220
1,4,VIDEO GAME SOFTWARE,310231
1,4,VIDEO GAME HARDWARE AND ACCESSORIES,310232
