level1,level2,description,ucc_code
1,5,PRESCRIPTION DRUG INSURANCE (NOT BCBS) (NEW UCC,580421
1,5,PRESCRIPTION DRUG INSURANCE (BCBS) (NEW UCC Q20172),580422
1,5,VISION CARE INSURANCE (NOT BCBS) (NEW UCC Q20172),580431
1,5,VISION CARE INSURANCE (BCBS) (NEW UCC Q20172),580432
1,5,OTHER SINGLE SERVICE INSURANCE (NOT BCBS),580441
1,5,OTHER SINGLE SERVICE INSURANCE (BCBS) (NEW UCC,580442
1,4,MEDICARE PAYMENTS,580901
1,5,COMMERCIAL MEDICARE SUPPLEMENT (NOT BCBS),580903
1,5,COMMERCIAL MEDICARE SUPPLEMENT (BCBS),580904
1,5,OTHER HEALTH INSURANCE (NOT BCBS) (THRU Q20171),580905
1,5,OTHER HEALTH INSURANCE (BCBS) (THRU Q20171),580906
1,4,MEDICARE PRESCRIPTION DRUG PREMIUM,580907
1,4,MEDICAID PREMIUMS (NEW UCC Q20172),580908
1,4,TRICARE/MILITARY PREMIUMS (NEW UCC Q20172),580909
1,4,CHILDREN''S HEALTH INSURANCE PROGRAM (CHIP) PREMIUMS,580910
1,3,NEWSPAPERS,590110
1,3,MAGAZINES,590210
1,3,BOOKS THRU BOOK CLUBS,590220
1,3,BOOKS NOT THRU BOOK CLUBS,590230
1,3,NEWSLETTERS,590900
1,4,OUTBOARD MOTORS,600110
1,5,BOAT WITHOUT MOTOR AND BOAT TRAILERS,600121
1,5,TRAILER AND OTHER ATTACHABLE CAMPERS,600122
1,5,PURCHASE OF BOAT WITH MOTOR,600132
1,5,PURCHASE OF MOTORIZED CAMPER,600141
1,5,PURCHASE OF OTHER VEHICLE,600142
1,5,"ATHLETIC GEAR, GAME TABLES, AND EXERCISE EQUIPMENT",600210
1,5,BICYCLES,600310
1,5,"BIKE SHARING, E-SCOOTERS (NEW UCC Q20192)",600311
1,5,"SCOOTERS, AND OTHER SINGLE RIDER TRANSPORTATION (NEW",600315
1,5,CAMPING EQUIPMENT,600410
1,5,HUNTING AND FISHING EQUIPMENT,600420
1,5,WINTER SPORTS EQUIPMENT,600430
1,5,WATER SPORTS EQUIPMENT,600901
1,5,OTHER SPORTS EQUIPMENT,600902
1,5,GLOBAL POSITIONING SYSTEM DEVICES,600903
1,5,"TOYS, GAMES, ARTS AND CRAFTS, AND TRICYCLES",610110
1,5,PLAYGROUND EQUIPMENT,610120
1,4,MUSICAL INSTRUMENTS AND ACCESSORIES,610130
1,5,STAMP AND COIN COLLECTING,610140
1,5,FILM,610210
1,5,OTHER PHOTOGRAPHIC SUPPLIES,610220
1,5,PHOTOGRAPHIC EQUIPMENT,610230
1,5,PET FOOD,610310
1,5,"PET PURCHASE, SUPPLIES, MEDICINE",610320
1,4,"RECREATION EXPENSES, OUT-OF-TOWN TRIPS",610900
1,4,FIREWORKS,610901
1,4,SOUVENIRS,610902
1,4,VISUAL GOODS,610903
1,4,"SOCIAL, RECREATION, HEALTH CLUB MEMBERSHIP",620111
1,3,CREDIT CARD MEMBERSHIPS,620112
1,5,AUTOMOBILE SERVICE CLUBS AND GPS SERVICES,620114
1,3,SHOPPING CLUB MEMBERSHIP FEES,620115
1,4,FEES FOR PARTICIPANT SPORTS,620121
1,4,"PARTICIPANT SPORTS, OUT-OF-TOWN TRIPS",620122
1,4,"MOVIE, OTHER ADMISSIONS, OUT-OF-TOWN TRIPS",620212
1,4,"PLAY, THEATER, OPERA, CONCERT",620213
1,4,"MOVIES, PARKS, MUSEUMS (THRU Q20171)",620214
1,4,TICKETS TO MOVIES,620215
1,4,TICKETS TO PARKS OR MUSEUMS (NEW UCC Q20172),620216
1,4,ADMISSION TO SPORTING EVENTS,620221
1,4,"ADMISSION TO SPORTS EVENTS, OUT-OF-TOWN TRIPS",620222
1,4,FEES FOR RECREATIONAL LESSONS,620310
1,5,PHOTOGRAPHER FEES,620320
1,5,PHOTO PROCESSING,620330
1,5,PET SERVICES,620410
1,5,VET SERVICES,620420
1,4,"OTHER ENTERTAINMENT SERVICES, OUT-OF-TOWN TRIPS",620903
1,4,RENTAL AND REPAIR OF MUSICAL INSTRUMENTS,620904
1,5,REPAIR AND RENTAL OF PHOTOGRAPHIC EQUIPMENT,620905
1,5,RENTAL OF BOAT,620906
1,5,RENTAL AND REPAIR OF MISCELLANEOUS SPORTS EQUIPMENT,620908
1,5,RENTAL OF CAMPERS ON OUT-OF-TOWN TRIPS,620909
1,4,"RENTAL OF VIDEO CASSETTES, TAPES, FILMS, AND DISCS",620912
1,4,"PINBALL, ELECTRONIC VIDEO GAMES",620913
1,4,RENTAL OF VIDEO HARDWARE/ACCESSORIES,620917
1,4,RENTAL OF VIDEO SOFTWARE,620918
1,5,RENTAL OF OTHER VEHICLES ON OUT-OF-TOWN TRIPS,620919
1,5,RENTAL OF MOTORIZED CAMPER,620921
1,5,RENTAL OF OTHER RV''S,620922
1,3,MISCELLANEOUS FEES,620925
1,3,LOTTERIES AND PARI-MUTUEL LOSSES,620926
1,4,ONLINE GAMING SERVICES,620930
1,3,CIGARETTES,630110
1,3,OTHER TOBACCO PRODUCTS,630210
1,3,SMOKING ACCESSORIES,630220
1,3,MARIJUANA,630900
1,4,HAIR CARE PRODUCTS,640110
1,4,NONELECTRIC ARTICLES FOR THE HAIR,640120
1,4,WIGS AND HAIRPIECES,640130
1,4,"ORAL HYGIENE PRODUCTS, ARTICLES",640210
1,4,SHAVING NEEDS,640220
1,4,"COSMETICS, PERFUME, BATH PREPARATIONS",640310
1,4,"DEODORANTS, FEMININE HYGIENE, MISCELLANEOUS PERSONAL",640410
1,4,ELECTRIC PERSONAL CARE APPLIANCES,640420
1,4,ADULT DIAPERS,640430
1,4,PERSONAL CARE SERVICES,650310
1,4,REPAIR OF PERSONAL CARE APPLIANCES,650900
1,3,"SCHOOL SUPPLIES, ETC. - UNSPECIFIED",660000
1,3,"SCHOOL BOOKS, SUPPLIES, EQUIPMENT FOR COLLEGE",660110
1,3,"SCHOOL BOOKS, SUPPLIES, EQUIPMENT FOR ELEMENTARY, HIGH",660210
1,3,ENCYCLOPEDIA AND OTHER SETS OF REFERENCE BOOKS,660310
1,3,"SCHOOL BOOKS, SUPPLIES, EQUIPMENT FOR VOCATIONAL AND",660410
1,3,"SCHOOL BOOKS, SUPPLIES, EQUIPMENT FOR DAY CARE, NURSERY",660901
1,3,"SCHOOL BOOKS, SUPPLIES, EQUIPMENT FOR OTHER SCHOOLS",660902
1,3,COLLEGE TUITION,670110
1,3,ELEMENTARY AND HIGH SCHOOL TUITION,670210
1,5,"DAY CARE CENTERS, NURSERY, AND PRESCHOOLS",670310
1,3,VOCATIONAL AND TECHNICAL SCHOOL TUITION,670410
1,3,OTHER SCHOOLS TUITION,670901
1,3,OTHER SCHOOL EXPENSES INCLUDING RENTALS,670902
1,3,"TEST PREPARATION, TUTORING SERVICES",670903
1,3,LEGAL FEES,680110
1,3,FUNERAL EXPENSES,680140
1,3,SAFE DEPOSIT BOX RENTAL,680210
1,3,"CHECKING ACCOUNTS, OTHER BANK SERVICE CHARGES",680220
1,4,LIVE ENTERTAINMENT FOR CATERED AFFAIRS,680310
1,4,RENTAL OF PARTY SUPPLIES FOR CATERED AFFAIRS,680320
1,3,"CEMETERY LOTS, VAULTS, MAINTENANCE FEES",680901
1,3,ACCOUNTING FEES,680902
1,3,MISCELLANEOUS PERSONAL SERVICES,680903
1,3,DATING SERVICES,680904
1,3,VACATION CLUBS,680905
1,5,COMPUTERS AND COMPUTER HARDWARE FOR NONBUSINESS USE,690111
1,5,REPAIR OF COMPUTER SYSTEMS FOR NONBUSINESS USE,690113
1,5,COMPUTER INFORMATION SERVICES (INTERNET),690114
1,5,INTERNET SERVICES AWAY FROM HOME,690116
1,5,PORTABLE MEMORY,690117
1,3,DIGITAL BOOK READERS,690118
1,5,COMPUTER SOFTWARE,690119
1,5,COMPUTER ACCESSORIES,690120
1,5,BUSINESS EQUIPMENT FOR HOME USE,690230
1,5,OTHER HOUSEHOLD APPLIANCES (RENTER),690244
1,5,OTHER HOUSEHOLD APPLIANCES (OWNED HOME),690245
1,5,INSTALLATION OF COMPUTER,690310
1,4,INSTALLATION OF TELEVISIONS,690320
1,4,INSTALLATION OF SATELLITE TELEVISION EQUIPMENT,690330
1,4,INSTALLATION OF SOUND SYSTEMS,690340
1,4,INSTALLATION OF OTHER VIDEO EQUIPMENT OR SOUND SYSTEMS,690350
1,4,"LIFE, ENDOWMENT, ANNUITY, OTHER PERSONAL INSURANCE",700110
1,4,SCHOOL LUNCHES,790430
1,3,EXPENSES FOR OTHER PROPERTIES,790600
1,8,CONSTRUCTION MATERIALS FOR JOBS NOT STARTED,790690
1,3,ALIMONY EXPENDITURES,800111
1,3,CHILD SUPPORT EXPENDITURES,800121
1,4,MEALS AS PAY,800700
1,5,RENT AS PAY,800710
1,3,SUPPORT FOR COLLEGE STUDENTS,800804
1,3,"GIFT TO NON-CU MEMBERS OF STOCKS, BONDS, AND MUTUAL FUND",800811
1,3,CASH CONTRIBUTIONS TO CHARITIES AND OTHER ORGANIZATIONS,800821
1,3,"CASH CONTRIBUTIONS TO CHURCH, RELIGIOUS ORGANIZATIONS",800831
1,3,CASH CONTRIBUTION TO EDUCATIONAL INSTITUTIONS,800841
1,3,CASH CONTRIBUTION TO POLITICAL ORGANIZATIONS,800851
1,3,OTHER CASH GIFTS,800861
1,4,DEDUCTIONS FOR GOVERNMENT RETIREMENT,800910
1,4,DEDUCTIONS FOR RAILROAD RETIREMENT,800920
1,4,DEDUCTIONS FOR PRIVATE PENSIONS,800931
1,4,NON-PAYROLL DEPOSIT TO RETIREMENT PLANS,800932
1,4,DEDUCTIONS FOR SOCIAL SECURITY,800940
1,5,OTHER VEHICLE FINANCE CHARGES,850300
1,6,"INTEREST PAID, HOME EQUITY LINE OF CREDIT",880110
1,3,"INTEREST PAID, HOME EQUITY LINE OF CREDIT (OTHER",880210
1,7,"INTEREST PAID, HOME EQUITY LINE OF CREDIT",880310
1,3,OCCUPATIONAL EXPENSES,900002
1,5,"RENTAL AND INSTALLATION OF DISHWASHERS, RANGE HOODS,",990900
1,8,"MATERIALS FOR ADDITIONS, FINISHING BASEMENTS,",990920
1,8,"MATERIALS TO FINISH BASEMENT, REMODEL ROOMS OR",990930
1,9,MATERIAL FOR FINISHING BASEMENTS AND,990940
