code_type,code,description,reason
HS6,251820,"Dolomite, calcined or sintered; including dolomite roughly trimmed, or merely cut by sawing or otherwise into blocks or slabs of rectangular (including square) shape",No UCC match found above confidence threshold
HS6,251830,Dolomite ramming mix,No UCC match found above confidence threshold
HS6,252010,Gypsum; anhydrite,No UCC match found above confidence threshold
HS6,252210,Quicklime; excluding calcium oxide and hydroxide of heading no. 2825,No UCC match found above confidence threshold
HS6,252220,Slaked lime; excluding calcium oxide and hydroxide of heading no. 2825,No UCC match found above confidence threshold
HS6,252230,Hydraulic lime; excluding calcium oxide and hydroxide of heading no. 2825,No UCC match found above confidence threshold
HS6,252410,Asbestos; crocidolite (blue asbestos),No UCC match found above confidence threshold
HS6,252490,Asbestos; other than crocidolite (blue asbestos),No UCC match found above confidence threshold
HS6,252510,Mica; crude and rifted into sheets or splittings,No UCC match found above confidence threshold
HS6,252530,Mica; waste,No UCC match found above confidence threshold
HS6,252800,"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85 % of H3BO3 calculated on the dry weight",No UCC match found above confidence threshold
HS6,252910,Feldspar,No UCC match found above confidence threshold
HS6,252921,Fluorspar; containing by weight 97% or less of calcium fluoride,No UCC match found above confidence threshold
HS6,252922,Fluorspar; containing by weight more than 97% of calcium fluoride,No UCC match found above confidence threshold
HS6,252930,Leucite; nepheline and nepheline syenite,No UCC match found above confidence threshold
HS6,253010,"Vermiculite, perlite and chlorites; unexpanded",No UCC match found above confidence threshold
HS6,253020,"Kieserite, epsomite (natural magnesium sulphates)",No UCC match found above confidence threshold
HS6,253090,Mineral substances; n.e.c. in chapter 25,No UCC match found above confidence threshold
HS6,260111,Iron ores and concentrates; non-agglomerated,No UCC match found above confidence threshold
HS6,260300,Copper ores and concentrates,No UCC match found above confidence threshold
HS6,260400,Nickel ores and concentrates,No UCC match found above confidence threshold
HS6,260500,Cobalt ores and concentrates,No UCC match found above confidence threshold
HS6,260600,Aluminium ores and concentrates,No UCC match found above confidence threshold
HS6,260700,Lead ores and concentrates,No UCC match found above confidence threshold
HS6,260800,Zinc ores and concentrates,No UCC match found above confidence threshold
HS6,260900,Tin ores and concentrates,No UCC match found above confidence threshold
HS6,261000,Chromium ores and concentrates,No UCC match found above confidence threshold
HS6,261100,Tungsten ores and concentrates,No UCC match found above confidence threshold
HS6,261210,Uranium ores and concentrates,No UCC match found above confidence threshold
HS6,261220,Thorium ores and concentrates,No UCC match found above confidence threshold
HS6,261400,Titanium ores and concentrates,No UCC match found above confidence threshold
HS6,261510,Zirconium ores and concentrates,No UCC match found above confidence threshold
HS6,261590,"Niobium, tantalum, vanadium ores and concentrates",No UCC match found above confidence threshold
HS6,261710,Antimony ores and concentrates,No UCC match found above confidence threshold
HS6,261790,Ores and concentrates n.e.c. in chapter 26; other than antimony,No UCC match found above confidence threshold
HS6,261800,"Slag, granulated (slag sand); from the manufacture or iron or steel",No UCC match found above confidence threshold
HS6,261900,"Slag, dross; (other than granulated slag), scalings and other waste from the manufacture of iron or steel",No UCC match found above confidence threshold
HS6,262011,"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly zinc, hard zinc spelter",No UCC match found above confidence threshold
HS6,262019,"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly zinc, other than hard zinc spelter",No UCC match found above confidence threshold
HS6,262021,"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly lead; leaded gasoline sludges and leaded anti-knock compound sludges",No UCC match found above confidence threshold
HS6,262029,"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly lead; excluding leaded gasoline sludges and leaded anti-knock compound sludges",No UCC match found above confidence threshold
HS6,262030,"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly copper",No UCC match found above confidence threshold
HS6,262040,"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly aluminium",No UCC match found above confidence threshold
HS6,262091,"Slag, ash and residues; (not from the manufacture of iron or steel), containing antimony, beryllium, cadmium, chromium or their mixtures",No UCC match found above confidence threshold
HS6,262110,Slag and ash; ash and residues from the incineration of municipal waste,No UCC match found above confidence threshold
HS6,262190,Slag and ash n.e.c. in chapter 26; including seaweed ash (kelp) but excluding ash and residues from the incineration of municipal waste,No UCC match found above confidence threshold
HS6,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",No UCC match found above confidence threshold
HS6,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",No UCC match found above confidence threshold
HS6,270119,"Coal; (other than anthracite and bituminous), whether or not pulverised but not agglomerated",No UCC match found above confidence threshold
HS6,270210,"Lignite; whether or not pulverised, but not agglomerated, excluding jet",No UCC match found above confidence threshold
HS6,270220,"Lignite; agglomerated, excluding jet",No UCC match found above confidence threshold
HS6,270300,"Peat; (including peat litter), whether or not agglomerated",No UCC match found above confidence threshold
HS6,270600,"Tar; distilled from coal, lignite or peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars",No UCC match found above confidence threshold
HS6,270810,Pitch; obtained from coal tar or from other mineral tars,No UCC match found above confidence threshold
HS6,270820,Pitch coke; obtained from coal tar or from other mineral tars,No UCC match found above confidence threshold
HS6,271210,Petroleum jelly,No UCC match found above confidence threshold
HS6,271220,"Paraffin wax; containing by weight less than 0.75% of oil, obtained by synthesis or by other processes, whether or not coloured",No UCC match found above confidence threshold
HS6,271290,"Paraffin wax; containing by weight 0.75% or more of oil, obtained by synthesis or by other processes, whether or not coloured",No UCC match found above confidence threshold
HS6,271311,"Petroleum coke; (not calcined), obtained from bituminous minerals",No UCC match found above confidence threshold
HS6,271312,"Petroleum coke; calcined, obtained from bituminous minerals",No UCC match found above confidence threshold
HS6,271410,Bituminous or oil shale and tar sands,No UCC match found above confidence threshold
HS6,280110,Chlorine,No UCC match found above confidence threshold
HS6,280120,Iodine,No UCC match found above confidence threshold
HS6,280130,Fluorine; bromine,No UCC match found above confidence threshold
HS6,280200,"Sulphur; sublimed or precipitated, colloidal sulphur",No UCC match found above confidence threshold
HS6,280410,Hydrogen,No UCC match found above confidence threshold
HS6,280421,"Gases, rare; argon",No UCC match found above confidence threshold
HS6,280429,"Gases, rare; other than argon",No UCC match found above confidence threshold
HS6,280430,Nitrogen,No UCC match found above confidence threshold
HS6,280440,Oxygen,No UCC match found above confidence threshold
HS6,280450,Boron; tellurium,No UCC match found above confidence threshold
HS6,280461,Silicon; containing by weight not less than 99.99% of silicon,No UCC match found above confidence threshold
HS6,280469,Silicon; containing by weight less than 99.99% of silicon,No UCC match found above confidence threshold
HS6,280470,Phosphorus,No UCC match found above confidence threshold
HS6,280480,Arsenic,No UCC match found above confidence threshold
HS6,280490,Selenium,No UCC match found above confidence threshold
HS6,280540,Mercury,No UCC match found above confidence threshold
HS6,280610,Hydrogen chloride (hydrochloric acid),No UCC match found above confidence threshold
HS6,280620,Chlorosulphuric acid,No UCC match found above confidence threshold
HS6,280700,Sulphuric acid; oleum,No UCC match found above confidence threshold
HS6,280800,Nitric acid; sulphonitric acids,No UCC match found above confidence threshold
HS6,280910,Diphosphorus pentoxide,No UCC match found above confidence threshold
HS6,280920,Phosphoric acid and polyphosphoric acids,No UCC match found above confidence threshold
HS6,281000,Oxides of boron; boric acids,No UCC match found above confidence threshold
HS6,281111,Hydrogen fluoride (hydrofluoric acid),No UCC match found above confidence threshold
HS6,281112,Hydrogen cyanide (hydrocyanic acid),No UCC match found above confidence threshold
HS6,281119,Inorganic acids; other than hydrogen fluoride,No UCC match found above confidence threshold
HS6,281122,Silicon dioxide,No UCC match found above confidence threshold
HS6,281212,Phosphorus oxychloride,No UCC match found above confidence threshold
HS6,281213,Phosphorus trichloride,No UCC match found above confidence threshold
HS6,281214,Phosphorus pentachloride,No UCC match found above confidence threshold
HS6,281215,Sulphur monochloride,No UCC match found above confidence threshold
HS6,281216,Sulphur dichloride,No UCC match found above confidence threshold
HS6,281217,Thionyl chloride,No UCC match found above confidence threshold
