Classification,Code,Description,Parent Code,Level,IsBasicLevel
H5,020724,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled",0207,6,1
H5,020725,"Meat and edible offal; of turkeys, not cut in pieces, frozen",0207,6,1
H5,020726,"Meat and edible offal; of turkeys, cuts and offal, fresh or chilled",0207,6,1
H5,020727,"Meat and edible offal; of turkeys, cuts and offal, frozen",0207,6,1
H5,020741,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled",0207,6,1
H5,020742,"Meat and edible offal; of ducks, not cut in pieces, frozen",0207,6,1
H5,020743,"Meat and edible offal; of ducks, fatty livers (foie gras), fresh or chilled",0207,6,1
H5,020744,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled",0207,6,1
H5,020745,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen",0207,6,1
H5,020751,"Meat and edible offal; of geese, not cut in pieces, fresh or chilled",0207,6,1
H5,020752,"Meat and edible offal; of geese, not cut in pieces, frozen",0207,6,1
H5,020753,"Meat and edible offal; of geese, fatty livers (foie gras), fresh or chilled",0207,6,1
H5,020754,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, fresh or chilled",0207,6,1
H5,020755,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, frozen",0207,6,1
H5,020760,"Meat and edible offal; of guinea fowls, fresh, chilled or frozen",0207,6,1
H5,020810,"Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen",0208,6,1
H5,020830,"Meat and edible meat offal; of primates, fresh, chilled or frozen",0208,6,1
H5,020840,"Meat and edible meat offal; of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia), fresh, chilled or frozen",0208,6,1
H5,020850,"Meat and edible meat offal; of reptiles (including snakes and turtles), fresh, chilled or frozen",0208,6,1
H5,020860,"Meat and edible meat offal; of camels and other camelids (Camelidae), fresh, chilled or frozen",0208,6,1
H5,020890,"Meat and edible meat offal; n.e.c. in chapter 2, fresh, chilled or frozen",0208,6,1
H5,020910,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",0209,6,1
H5,020990,"Fat; poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",0209,6,1
H5,021011,"Meat; salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in",0210,6,1
H5,021012,"Meat; salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof",0210,6,1
H5,021019,"Meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1",0210,6,1
H5,021020,"Meat; salted, in brine, dried or smoked, of bovine animals",0210,6,1
H5,021091,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of primates",0210,6,1
H5,021092,"Meat and edible meat offal; salted, in brine, dried or smoked; edible flours, meals of meat or meat offal, of whales, dolphins, porpoises (of order Cetacea); manatees, dugongs (of order Sirenia); seals, sea lions, and walruses (of suborder Pinnipedia)",0210,6,1
H5,021093,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of reptiles (including snakes and turtles)",0210,6,1
H5,021099,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates, whales, dolphins, porpoises, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles)",0210,6,1
H5,030111,"Fish; live, ornamental, freshwater",0301,6,1
H5,030119,"Fish; live, ornamental, other than freshwater",0301,6,1
H5,030191,"Fish; live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",0301,6,1
H5,030192,"Fish; live, eels (Anguilla spp.)",0301,6,1
H5,030193,"Fish; live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",0301,6,1
H5,030194,"Fish; live, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",0301,6,1
H5,030195,"Fish; live, southern bluefin tunas (Thunnus maccoyii)",0301,6,1
H5,030199,"Fish; live, n.e.c. in heading 0301",0301,6,1
H5,030211,"Fish; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9",0302,6,1
H5,030213,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9",0302,6,1
H5,030214,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",0302,6,1
H5,030219,"Fish; fresh or chilled, salmonidae, n.e.c. in item no. 0302.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",0302,6,1
H5,030221,"Fish; fresh or chilled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",0302,6,1
H5,030222,"Fish; fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",0302,6,1
H5,030223,"Fish; fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",0302,6,1
H5,030224,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",0302,6,1
H5,030229,"Fish; fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",0302,6,1
H5,030231,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",0302,6,1
H5,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",0302,6,1
