Classification,Code,Description,Parent Code,Level,IsBasicLevel
H5,240399,Tobacco; other than homogenised or reconstituted or smoking,2403,6,1
H5,250100,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,2501,6,1
H5,250200,Iron pyrites; unroasted,2502,6,1
H5,250300,"Sulphur of all kinds; other than sublimed, precipitated and colloidal sulphur",2503,6,1
H5,250410,"Graphite; natural, in powder or in flakes",2504,6,1
H5,250490,"Graphite; natural, in other forms, excluding powder or flakes",2504,6,1
H5,250510,"Sands; natural, silica and quartz sands, whether or not coloured",2505,6,1
H5,250590,"Sands; natural, (other than silica and quartz sands), whether or not coloured, (other than metal-bearing sands of chapter 26)",2505,6,1
H5,250610,Quartz; other than natural sands,2506,6,1
H5,250620,"Quartzite; whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",2506,6,1
H5,250700,Kaolin and other kaolinic clays; whether or not calcined,2507,6,1
H5,250810,"Clays (excluding expanded clays of heading no. 6806); bentonite, whether or not calcined",2508,6,1
H5,250830,"Clays (excluding expanded clays of heading no. 6806); fireclay, whether or not calcined",2508,6,1
H5,250840,"Clays (excluding expanded clays of heading no. 6806); n.e.c. in heading no. 2508, whether or not calcined",2508,6,1
H5,250850,"Clays (excluding expanded clays of heading no. 6806); andalusite, kyanite and sillimanite, whether or not calcined",2508,6,1
H5,250860,Clays (excluding expanded clays of heading no. 6806); mullite,2508,6,1
H5,250870,Clays (excluding expanded clays of heading no. 6806); chamotte or dinas earths,2508,6,1
H5,250900,Chalk,2509,6,1
H5,251010,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk; unground",2510,6,1
H5,251020,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk; ground",2510,6,1
H5,251110,Barium sulphate (barytes); natural,2511,6,1
H5,251120,"Barium carbonate (witherite); natural, whether or not calcined, other than barium oxide of heading no. 2816",2511,6,1
H5,251200,"Siliceous fossil meals (e.g. kieselguhr, tripolite and diatomite) and similar siliceous earths; whether or not calcined, of an apparent specific gravity of 1 or less",2512,6,1
H5,251310,"Pumice stone, whether or not heat treated",2513,6,1
H5,251320,"Emery, natural corundum, natural garnet and other natural abrasives, whether or not heat-treated",2513,6,1
H5,251400,"Slate; whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",2514,6,1
H5,251511,"Marble and travertine; having a specific gravity of 2.5 or more, crude or roughly trimmed by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",2515,6,1
H5,251512,"Marble and travertine; merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape, having a specific gravity of 2.5 or more",2515,6,1
H5,251520,"Ecaussine and other calcareous monumental or building stone; alabaster, having a specific gravity of 2.5 or more",2515,6,1
H5,251611,Granite; crude or roughly trimmed,2516,6,1
H5,251612,"Granite; merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",2516,6,1
H5,251620,"Sandstone;. whether or not roughly trimmed, cut, by sawing etc, into blocks or slabs of a rectangular (including square) shape",2516,6,1
H5,251690,"Monumental or building stone; n.e.c. in heading no. 2516, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",2516,6,1
H5,251710,"Pebbles, gravel, broken or crushed stone; of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated",2517,6,1
H5,251720,"Macadam of slag, dross or similar industrial waste; whether or not incorporating the materials in item no. 2517.10",2517,6,1
H5,251730,Tarred macadam,2517,6,1
H5,251741,"Stones; of marble, in granules, chippings and powder, whether or not heat-treated",2517,6,1
H5,251749,"Stones; of heading no. 2515 or 2516 (excluding marble), in granules, chippings and powder, whether or not heat-treated",2517,6,1
H5,251810,"Dolomite, not calcined or sintered; including dolomite roughly trimmed, or merely cut by sawing or otherwise into blocks or slabs of rectangular (including square) shape",2518,6,1
H5,251820,"Dolomite, calcined or sintered; including dolomite roughly trimmed, or merely cut by sawing or otherwise into blocks or slabs of rectangular (including square) shape",2518,6,1
H5,251830,Dolomite ramming mix,2518,6,1
H5,251910,Magnesium carbonate (magnesite); natural,2519,6,1
H5,251990,"Magnesia, fused or dead-burned (sintered); whether or not containing small quantities of other oxides added before sintering, other magnesium oxide, whether or not pure, (not natural magnesium carbonate)",2519,6,1
H5,252010,Gypsum; anhydrite,2520,6,1
H5,252020,"Plasters; (consisting of calcined gypsum or calcium sulphate), whether or not coloured, with or without small quantities of accelerators or retarders",2520,6,1
H5,252100,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",2521,6,1
H5,252210,Quicklime; excluding calcium oxide and hydroxide of heading no. 2825,2522,6,1
H5,252220,Slaked lime; excluding calcium oxide and hydroxide of heading no. 2825,2522,6,1
H5,252230,Hydraulic lime; excluding calcium oxide and hydroxide of heading no. 2825,2522,6,1
H5,252310,Cement clinkers (whether or not coloured),2523,6,1
H5,252321,"Cement; portland, white, whether or not artificially coloured",2523,6,1
H5,252329,"Cement; portland, other than white, whether or not artificially coloured",2523,6,1
H5,252330,"Cement; aluminous (ciment fondu), whether or not coloured or in the form of clinkers",2523,6,1
H5,252390,Cement; hydraulic kinds n.e.c. in heading no. 2523,2523,6,1
H5,252410,Asbestos; crocidolite (blue asbestos),2524,6,1
H5,252490,Asbestos; other than crocidolite (blue asbestos),2524,6,1
H5,252510,Mica; crude and rifted into sheets or splittings,2525,6,1
H5,252520,Mica; powder,2525,6,1
H5,252530,Mica; waste,2525,6,1
H5,252610,"Steatite; natural, (not crushed or powdered), whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc",2526,6,1
H5,252620,"Steatite; natural, crushed, powdered, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc",2526,6,1
H5,252800,"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85 % of H3BO3 calculated on the dry weight",2528,6,1
H5,252910,Feldspar,2529,6,1
H5,252921,Fluorspar; containing by weight 97% or less of calcium fluoride,2529,6,1
H5,252922,Fluorspar; containing by weight more than 97% of calcium fluoride,2529,6,1
H5,252930,Leucite; nepheline and nepheline syenite,2529,6,1
H5,253010,"Vermiculite, perlite and chlorites; unexpanded",2530,6,1
H5,253020,"Kieserite, epsomite (natural magnesium sulphates)",2530,6,1
H5,253090,Mineral substances; n.e.c. in chapter 25,2530,6,1
H5,260111,Iron ores and concentrates; non-agglomerated,2601,6,1
H5,260112,Iron ores and concentrates; agglomerated (excluding roasted iron pyrites),2601,6,1
H5,260120,Iron pyrites; roasted,2601,6,1
H5,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",2602,6,1
H5,260300,Copper ores and concentrates,2603,6,1
H5,260400,Nickel ores and concentrates,2604,6,1
H5,260500,Cobalt ores and concentrates,2605,6,1
H5,260600,Aluminium ores and concentrates,2606,6,1
H5,260700,Lead ores and concentrates,2607,6,1
H5,260800,Zinc ores and concentrates,2608,6,1
H5,260900,Tin ores and concentrates,2609,6,1
H5,261000,Chromium ores and concentrates,2610,6,1
H5,261100,Tungsten ores and concentrates,2611,6,1
H5,261210,Uranium ores and concentrates,2612,6,1
H5,261220,Thorium ores and concentrates,2612,6,1
H5,261310,Molybdenum ores and concentrates; roasted,2613,6,1
H5,261390,Molybdenum ores and concentrates; other than roasted,2613,6,1
H5,261400,Titanium ores and concentrates,2614,6,1
H5,261510,Zirconium ores and concentrates,2615,6,1
H5,261590,"Niobium, tantalum, vanadium ores and concentrates",2615,6,1
H5,261610,Silver ores and concentrates,2616,6,1
H5,261690,Precious metal ores and concentrates; (excluding silver),2616,6,1
H5,261710,Antimony ores and concentrates,2617,6,1
H5,261790,Ores and concentrates n.e.c. in chapter 26; other than antimony,2617,6,1
H5,261800,"Slag, granulated (slag sand); from the manufacture or iron or steel",2618,6,1
H5,261900,"Slag, dross; (other than granulated slag), scalings and other waste from the manufacture of iron or steel",2619,6,1
H5,262011,"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly zinc, hard zinc spelter",2620,6,1
H5,262019,"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly zinc, other than hard zinc spelter",2620,6,1
H5,262021,"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly lead; leaded gasoline sludges and leaded anti-knock compound sludges",2620,6,1
H5,262029,"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly lead; excluding leaded gasoline sludges and leaded anti-knock compound sludges",2620,6,1
H5,262030,"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly copper",2620,6,1
H5,262040,"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly aluminium",2620,6,1
H5,262060,"Slag, ash and residues; (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",2620,6,1
H5,262091,"Slag, ash and residues; (not from the manufacture of iron or steel), containing antimony, beryllium, cadmium, chromium or their mixtures",2620,6,1
H5,262099,"Slag, ash and residues; (not from the manufacture of iron or steel), containing mainly metals or their compounds, n.e.c. in heading no. 2620",2620,6,1
H5,262110,Slag and ash; ash and residues from the incineration of municipal waste,2621,6,1
H5,262190,Slag and ash n.e.c. in chapter 26; including seaweed ash (kelp) but excluding ash and residues from the incineration of municipal waste,2621,6,1
H5,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",2701,6,1
H5,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",2701,6,1
H5,270119,"Coal; (other than anthracite and bituminous), whether or not pulverised but not agglomerated",2701,6,1
H5,270120,"Briquettes, ovoids and similar solid fuels; manufactured from coal",2701,6,1
H5,270210,"Lignite; whether or not pulverised, but not agglomerated, excluding jet",2702,6,1
H5,270220,"Lignite; agglomerated, excluding jet",2702,6,1
H5,270300,"Peat; (including peat litter), whether or not agglomerated",2703,6,1
H5,270400,"Coke and semi-coke; of coal, lignite or peat, whether or not agglomerated; retort carbon",2704,6,1
H5,270500,"Gases; coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",2705,6,1
H5,270600,"Tar; distilled from coal, lignite or peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars",2706,6,1
H5,270710,Oils and products of the distillation of high temperature coal tar; benzol (benzene),2707,6,1
H5,270720,Oils and products of the distillation of high temperature coal tar; toluol (toluene),2707,6,1
H5,270730,Oils and products of the distillation of high temperature coal tar; xylol (xylenes),2707,6,1
H5,270740,Oils and products of the distillation of high temperature coal tar; naphthalene,2707,6,1
H5,270750,"Aromatic hydrocarbon mixtures; n.e.c. in heading no. 2707, of which 65% or more by volume (including losses) distils at 250 degrees Celsius by the ISO 3405 method (equivalent to the ASTM D 86 method)",2707,6,1
H5,270791,Oils and other products of the distillation of high temperature coal tar; creosote oils,2707,6,1
H5,270799,Oils and other products of the distillation of high temperature coal tar; n.e.c. in heading no. 2707,2707,6,1
H5,270810,Pitch; obtained from coal tar or from other mineral tars,2708,6,1
H5,270820,Pitch coke; obtained from coal tar or from other mineral tars,2708,6,1
H5,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",2709,6,1
H5,271012,"Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations",2710,6,1
H5,271019,"Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; not light oils and preparations",2710,6,1
H5,271020,"Petroleum oils and oils from bituminous minerals, containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals",2710,6,1
H5,271091,"Waste Oils; of petroleum or obtained from bituminous minerals, not crude; and preparations n.e.c., weight 70% or preparations of the same, containing polychlorinated biphenyls (PCBs), polychorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)",2710,6,1
H5,271099,"Waste Oils; of petroleum or obtained from bituminous minerals, not crude and preparations n.e.c., weight 70% or preparations of the same, not containing polychlorinated biphenyls (PCBs), polychorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)",2710,6,1
H5,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",2711,6,1
H5,271112,"Petroleum gases and other gaseous hydrocarbons; liquefied, propane",2711,6,1
H5,271113,"Petroleum gases and other gaseous hydrocarbons; liquefied, butanes",2711,6,1
H5,271114,"Petroleum gases and other gaseous hydrocarbons; liquefied, ethylene, propylene, butylene and butadiene",2711,6,1
H5,271119,"Petroleum gases and other gaseous hydrocarbons; liquefied, n.e.c. in heading no. 2711",2711,6,1
H5,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",2711,6,1
H5,271129,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, other than natural gas",2711,6,1
H5,271210,Petroleum jelly,2712,6,1
H5,271220,"Paraffin wax; containing by weight less than 0.75% of oil, obtained by synthesis or by other processes, whether or not coloured",2712,6,1
H5,271290,"Paraffin wax; containing by weight 0.75% or more of oil, obtained by synthesis or by other processes, whether or not coloured",2712,6,1
H5,271311,"Petroleum coke; (not calcined), obtained from bituminous minerals",2713,6,1
H5,271312,"Petroleum coke; calcined, obtained from bituminous minerals",2713,6,1
H5,271320,Petroleum bitumen; obtained from bituminous minerals,2713,6,1
H5,271390,Residues; of petroleum oils or of oils obtained from bituminous minerals,2713,6,1
H5,271410,Bituminous or oil shale and tar sands,2714,6,1
H5,271490,"Bitumen and asphalt, natural; asphaltites and asphaltic rock",2714,6,1
H5,271500,"Bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (e.g. bituminous mastics, cut-backs)",2715,6,1
H5,271600,Electrical energy,2716,6,1
H5,280110,Chlorine,2801,6,1
H5,280120,Iodine,2801,6,1
H5,280130,Fluorine; bromine,2801,6,1
H5,280200,"Sulphur; sublimed or precipitated, colloidal sulphur",2802,6,1
H5,280300,Carbon; carbon blacks and other forms of carbon n.e.c.,2803,6,1
H5,280410,Hydrogen,2804,6,1
H5,280421,"Gases, rare; argon",2804,6,1
H5,280429,"Gases, rare; other than argon",2804,6,1
H5,280430,Nitrogen,2804,6,1
H5,280440,Oxygen,2804,6,1
H5,280450,Boron; tellurium,2804,6,1
H5,280461,Silicon; containing by weight not less than 99.99% of silicon,2804,6,1
H5,280469,Silicon; containing by weight less than 99.99% of silicon,2804,6,1
H5,280470,Phosphorus,2804,6,1
H5,280480,Arsenic,2804,6,1
H5,280490,Selenium,2804,6,1
H5,280511,Alkali or alkali-earth metals; sodium,2805,6,1
H5,280512,Alkali or alkali-earth metals; calcium,2805,6,1
H5,280519,Alkali or alkali-earth metals; other than sodium and calcium,2805,6,1
H5,280530,"Earth-metals, rare; scandium and yttrium, whether or not intermixed or interalloyed",2805,6,1
H5,280540,Mercury,2805,6,1
H5,280610,Hydrogen chloride (hydrochloric acid),2806,6,1
H5,280620,Chlorosulphuric acid,2806,6,1
H5,280700,Sulphuric acid; oleum,2807,6,1
H5,280800,Nitric acid; sulphonitric acids,2808,6,1
H5,280910,Diphosphorus pentoxide,2809,6,1
H5,280920,Phosphoric acid and polyphosphoric acids,2809,6,1
H5,281000,Oxides of boron; boric acids,2810,6,1
H5,281111,Hydrogen fluoride (hydrofluoric acid),2811,6,1
H5,281112,Hydrogen cyanide (hydrocyanic acid),2811,6,1
H5,281119,Inorganic acids; other than hydrogen fluoride,2811,6,1
H5,281121,Carbon dioxide,2811,6,1
H5,281122,Silicon dioxide,2811,6,1
H5,281129,"Inorganic oxygen compounds; of non-metals, n.e.c. in item no. 2811.2",2811,6,1
H5,281211,Carbonyl dichloride (phosgene),2812,6,1
H5,281212,Phosphorus oxychloride,2812,6,1
H5,281213,Phosphorus trichloride,2812,6,1
H5,281214,Phosphorus pentachloride,2812,6,1
H5,281215,Sulphur monochloride,2812,6,1
H5,281216,Sulphur dichloride,2812,6,1
H5,281217,Thionyl chloride,2812,6,1
H5,281219,"Arsenic trichloride and other chlorides and chloride oxides, n.e.c. in item no. 2812",2812,6,1
H5,281290,Halides and halide oxides of non-metals; excluding chloride,2812,6,1
H5,281310,Carbon disulphide,2813,6,1
H5,281390,"Sulphides of non-metals, (excluding carbon); commercial phosphorus trisulphide",2813,6,1
H5,281410,Ammonia; anhydrous,2814,6,1
H5,281420,Ammonia; in aqueous solution,2814,6,1
H5,281511,Sodium hydroxide (caustic soda); solid,2815,6,1
H5,281512,Sodium hydroxide (caustic soda); in aqueous solution (soda lye or liquid soda),2815,6,1
H5,281520,Potassium hydroxide (caustic potash),2815,6,1
H5,281530,Peroxides of sodium or potassium,2815,6,1
H5,281610,Hydroxide and peroxide of magnesium,2816,6,1
H5,281640,"Oxides, hydroxides and peroxides, of strontium or barium",2816,6,1
H5,281700,Zinc; oxide and peroxide,2817,6,1
H5,281810,Aluminium oxide; artificial corundum,2818,6,1
H5,281820,Aluminium oxide; other than artificial corundum,2818,6,1
H5,281830,Aluminium hydroxide,2818,6,1
H5,281910,Chromium trioxide,2819,6,1
H5,281990,Chromium oxides and hydroxides; excluding chromium trioxide,2819,6,1
H5,282010,Manganese dioxide,2820,6,1
H5,282090,Manganese oxides; excluding manganese dioxide,2820,6,1
H5,282110,Iron oxides and hydroxides,2821,6,1
H5,282120,Earth colours; containing 70% or more by weight of combined iron evaluated as Fe2o3,2821,6,1
H5,282200,Cobalt oxides and hydroxides; commercial cobalt oxides,2822,6,1
H5,282300,Titanium oxides,2823,6,1
H5,282410,"Lead; lead monoxide (litharge, massicot)",2824,6,1
H5,282490,Lead oxides; n.e.c. in heading no. 2824,2824,6,1
H5,282510,Hydrazine and hydroxylamine and their inorganic salts,2825,6,1
H5,282520,Lithium oxide and hydroxide,2825,6,1
H5,282530,Vanadium oxides and hydroxides,2825,6,1
H5,282540,Nickel oxides and hydroxides,2825,6,1
H5,282550,Copper oxides and hydroxides,2825,6,1
H5,282560,Germanium oxides and zirconium dioxide,2825,6,1
H5,282570,Molybdenum oxides and hydroxides,2825,6,1
H5,282580,Antimony oxides,2825,6,1
H5,282590,"Inorganic bases, metal oxides, hydroxides and peroxides; n.e.c. in heading no. 2825",2825,6,1
H5,282612,Fluorides; of aluminium,2826,6,1
H5,282619,Fluorides; other than of aluminium,2826,6,1
H5,282630,Sodium hexafluoroaluminate (synthetic cryolite),2826,6,1
H5,282690,"Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts, n.e.c. in heading no. 2826",2826,6,1
H5,282710,Chlorides; of ammonium,2827,6,1
H5,282720,Chlorides; of calcium,2827,6,1
H5,282731,Chlorides; of magnesium,2827,6,1
H5,282732,Chlorides; of aluminium,2827,6,1
H5,282735,Chlorides; of nickel,2827,6,1
H5,282739,"Chlorides; other than of ammonium, calcium, magnesium, aluminium and nickel",2827,6,1
H5,282741,Chloride oxides and chloride hydroxides; of copper,2827,6,1
H5,282749,Chloride oxides and chloride hydroxides; other than of copper,2827,6,1
H5,282751,Bromides; of sodium or of potassium,2827,6,1
H5,282759,Bromides and bromide oxides; other than item no. 2827.51,2827,6,1
H5,282760,Iodides and iodide oxides,2827,6,1
H5,282810,Hypochlorites; commercial calcium hypochlorite and other calcium hypochlorites,2828,6,1
H5,282890,Hypochlorites; n.e.c. in heading no. 2828,2828,6,1
H5,282911,Chlorates; of sodium,2829,6,1
H5,282919,Chlorates; other than sodium,2829,6,1
H5,282990,Perchlorates; bromates and perbromates; iodates and periodates,2829,6,1
H5,283010,"Sulphides; of sodium, whether or not chemically defined",2830,6,1
H5,283090,"Sulphides and polysulphides; whether or not chemically defined, other than sulphides of sodium",2830,6,1
H5,283110,Dithionites and sulphoxylates; of sodium,2831,6,1
H5,283190,Dithionites and sulphoxylates; other than sodium,2831,6,1
H5,283210,Sulphites; of sodium,2832,6,1
H5,283220,Sulphites; other than of sodium,2832,6,1
H5,283230,Thiosulphates,2832,6,1
H5,283311,Sodium sulphates; disodium sulphate,2833,6,1
H5,283319,Sodium sulphates; other than disodium sulphate,2833,6,1
H5,283321,Sulphates; of magnesium,2833,6,1
H5,283322,Sulphates; of aluminium,2833,6,1
H5,283324,Sulphates; of nickel,2833,6,1
H5,283325,Sulphates; of copper,2833,6,1
H5,283327,Sulphates; of barium,2833,6,1
H5,283329,Sulphates; n.e.c. in item no. 2833.2,2833,6,1
H5,283330,Alums,2833,6,1
H5,283340,Peroxosulphates (persulphates),2833,6,1
H5,283410,Nitrites,2834,6,1
H5,283421,Nitrates; of potassium,2834,6,1
H5,283429,Nitrates; of other than potassium,2834,6,1
H5,283510,"Phosphinates (hypophosphites) and phosphonates (phosphites), whether or not chemically defined",2835,6,1
H5,283522,"Phosphates; of mono- or disodium, whether or not chemically defined",2835,6,1
H5,283524,"Phosphates; of potassium, whether or not chemically defined",2835,6,1
H5,283525,"Phosphates; calcium hydrogenorthophosphate (dicalcium phosphate), whether or not chemically defined",2835,6,1
H5,283526,"Phosphates; of calcium n.e.c. in item no. 2835.25, whether or not chemically defined",2835,6,1
H5,283529,"Phosphates; (other than of mono- or disodium, other than of potassium or of calcium hydrogenorthophosphate (dicalcium phosphate) and excluding other phosphates of calcium), whether or not chemically defined",2835,6,1
H5,283531,"Polyphosphates; sodium triphosphate (sodium tripolyphosphate), whether or not chemically defined",2835,6,1
H5,283539,"Polyphosphates; other than sodium triphosphate (sodium tripolyphosphate), whether or not chemically defined",2835,6,1
H5,283620,Carbonates; disodium carbonate,2836,6,1
H5,283630,Carbonates; sodium hydrogen carbonate (sodium bicarbonate),2836,6,1
H5,283640,Carbonates; potassium carbonate,2836,6,1
H5,283650,Carbonates; calcium carbonate,2836,6,1
H5,283660,Carbonates; barium carbonate,2836,6,1
H5,283691,Carbonates; lithium carbonate,2836,6,1
H5,283692,Carbonates; strontium carbonate,2836,6,1
H5,283699,Carbonates; n.e.c. in heading no. 2836 and other than lithium or strontium,2836,6,1
H5,283711,Cyanides and cyanide oxides; of sodium,2837,6,1
H5,283719,Cyanides and cyanide oxides; other than of sodium,2837,6,1
H5,283720,Complex cyanides,2837,6,1
H5,283911,Silicates; sodium metasilicates,2839,6,1
H5,283919,Silicates; of sodium (excluding sodium metasilicates),2839,6,1
H5,283990,"Silicates; commercial alkali metal silicates, other than of sodium",2839,6,1
H5,284011,"Borates; disodium tetraborate (refined borax), anhydrous",2840,6,1
H5,284019,"Borates; disodium tetraborate (refined borax), other than anhydrous",2840,6,1
H5,284020,Borates; n.e.c. in heading no. 2840,2840,6,1
H5,284030,Peroxoborates (perborates),2840,6,1
H5,284130,Salts; sodium dichromate,2841,6,1
H5,284150,"Salts; chromates, dichromates, peroxochromates; n.e.c. in heading no. 2841",2841,6,1
H5,284161,"Salts; of oxometallic or peroxometallic acids, manganites, manganates and permanganates, potassium permanganate",2841,6,1
H5,284169,"Salts; of oxometallic or peroxometallic acids, manganites, manganates and permanganates, other than potassium permanganate",2841,6,1
H5,284170,Salts; molybdates,2841,6,1
H5,284180,Salts; tungstates (wolframates),2841,6,1
H5,284190,Salts of oxometallic or peroxometallic acids; n.e.c. in heading no. 2841,2841,6,1
H5,284210,"Salts of inorganic acids or peroxoacids, double or complex silicates, including aluminosilicates, whether or not chemically defined, excluding azides",2842,6,1
H5,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",2842,6,1
H5,284310,Colloidal precious metals; whether or not chemically defined,2843,6,1
H5,284321,Silver compounds; silver nitrates,2843,6,1
H5,284329,Silver compounds; excluding silver nitrates,2843,6,1
H5,284330,Gold compounds,2843,6,1
H5,284390,"Inorganic or organic compounds of precious metals, n.e.c.; amalgams",2843,6,1
H5,284410,"Uranium; natural uranium and its compounds, alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds",2844,6,1
H5,284420,"Uranium; enriched in U235, plutonium, their compounds, alloys dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U235, plutonium or compounds of these products",2844,6,1
H5,284430,"Uranium; depleted in U235, thorium, their compounds, alloys, dispersions (including cermets), ceramic products and mixtures containing uranium depleted in U235, thorium; compounds of these products",2844,6,1
H5,284440,"Radioactive elements, isotopes, compounds, n.e.c. in heading no. 2844 alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues",2844,6,1
H5,284450,Spent (irradiated) fuel elements (cartridges) of nuclear reactors,2844,6,1
H5,284510,Heavy water (deuterium oxide),2845,6,1
H5,284590,"Isotopes (excluding those of heading no. 2844); compounds, inorganic or organic, of such isotopes, whether or not chemically defined",2845,6,1
H5,284610,Cerium compounds,2846,6,1
H5,284690,"Compounds, inorganic or organic (excluding cerium), of rare-earth metals, of yttrium, scandium or of mixtures of these metals",2846,6,1
H5,284700,Hydrogen peroxide; whether or not solidified with urea,2847,6,1
H5,284910,"Carbides; of calcium, whether or not chemically defined",2849,6,1
H5,284920,"Carbides; of silicon, whether or not chemically defined",2849,6,1
H5,284990,"Carbides; whether or not chemically defined, other than of calcium or silicon",2849,6,1
H5,285000,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading no. 2849",2850,6,1
H5,285210,"Inorganic or organic compounds of mercury, excluding amalgams, chemically defined",2852,6,1
H5,285290,"Inorganic or organic compounds of mercury; excluding amalgams, not chemically defined,",2852,6,1
H5,285310,Inorganic compounds; cyanogen chloride (chlorcyan),2853,6,1
H5,285390,"Phosphides, chemically defined or not, not ferrophosphorus; other inorganic compounds n.e.c. (including distilled, conductivity water and water of like purity); liquid air, rare gases removed or not; compressed air; amalgams, not precious metal amalgams",2853,6,1
H5,290110,Acyclic hydrocarbons; saturated,2901,6,1
H5,290121,"Acyclic hydrocarbons; unsaturated, ethylene",2901,6,1
H5,290122,"Acyclic hydrocarbons; unsaturated, propene (propylene)",2901,6,1
H5,290123,"Acyclic hydrocarbons; unsaturated, butene (butylene) and isomers thereof",2901,6,1
H5,290124,"Acyclic hydrocarbons; unsaturated, buta-1,3-diene and isoprene",2901,6,1
H5,290129,"Acyclic hydrocarbons; unsaturated, n.e.c. in heading no. 2901",2901,6,1
H5,290211,Cyclic hydrocarbons; cyclohexane,2902,6,1
H5,290219,"Cyclic hydrocarbons; cyclanes, cyclenes and cycloterpenes, excluding cyclohexane",2902,6,1
H5,290220,Cyclic hydrocarbons; benzene,2902,6,1
H5,290230,Cyclic hydrocarbons; toluene,2902,6,1
H5,290241,Cyclic hydrocarbons; o-xylene,2902,6,1
H5,290242,Cyclic hydrocarbons; m-xylene,2902,6,1
H5,290243,Cyclic hydrocarbons; p-xylene,2902,6,1
H5,290244,Cyclic hydrocarbons; mixed xylene isomers,2902,6,1
H5,290250,Cyclic hydrocarbons; styrene,2902,6,1
H5,290260,Cyclic hydrocarbons; ethylbenzene,2902,6,1
H5,290270,Cyclic hydrocarbons; cumene,2902,6,1
H5,290290,Cyclic hydrocarbons; n.e.c. in heading no. 2902,2902,6,1
H5,290311,Saturated chlorinated derivatives of acyclic hydrocarbons; chloromethane (methyl chloride) and chloroethane (ethyl chloride),2903,6,1
H5,290312,Saturated chlorinated derivatives of acyclic hydrocarbons; dichloromethane (methylene chloride),2903,6,1
H5,290313,Saturated chlorinated derivatives of acyclic hydrocarbons; chloroform (trichloromethane),2903,6,1
H5,290314,Saturated chlorinated derivatives of acyclic hydrocarbons; carbon tetrachloride,2903,6,1
H5,290315,"Saturated chlorinated derivatives of acyclic hydrocarbons; ethylene dichloride (ISO) (1,2-dichloroethane)",2903,6,1
