hs10_code,hs10_description,ucc_code,ucc_description,confidence_level,match_score,match_reasoning,match_method,demographic_split
0102310020,"BUFFALO, LIVE, PUREBRED BREEDING, FEMALE, OTHER THAN DAIRY",100510,MISCELLANEOUS DAIRY PRODUCTS,HIGH,0.72,anchor tokens: DAIRY,deterministic,1.0
0102900000,"BOVINES, LIVE, OTHER THAN CATTLE OR BUFFALO",030810,OTHER BEEF,HIGH,0.7667,anchor tokens: BEEF; HS10 tokens matched: CATTLE,deterministic,1.0
0102900000,"BOVINES, LIVE, OTHER THAN CATTLE OR BUFFALO",030110,GROUND BEEF,HIGH,0.7667,anchor tokens: BEEF; HS10 tokens matched: CATTLE,deterministic,1.0
0103100000,"SWINE, PUREBRED BREEDING, LIVE",040410,OTHER PORK,HIGH,0.7667,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0103100000,"SWINE, PUREBRED BREEDING, LIVE",040210,PORK CHOPS,MEDIUM,0.4417,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0103910000,"SWINE, WEIGHING LESS THAN 50 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",040410,OTHER PORK,HIGH,0.7667,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0103910000,"SWINE, WEIGHING LESS THAN 50 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",040210,PORK CHOPS,MEDIUM,0.4417,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0103910010,"SWINE, WEIGHING LESS THAN 7 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",040410,OTHER PORK,HIGH,0.7667,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0103910010,"SWINE, WEIGHING LESS THAN 7 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",040210,PORK CHOPS,MEDIUM,0.4417,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0103910020,"SWINE, WEIGHING 7 KG OR MORE BUT LESS THAN 23 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",040410,OTHER PORK,HIGH,0.7667,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0103910020,"SWINE, WEIGHING 7 KG OR MORE BUT LESS THAN 23 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",040210,PORK CHOPS,MEDIUM,0.4417,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0103910030,"SWINE, WEIGHING 23 KG OR MORE BUT LESS THAN 50 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",040410,OTHER PORK,HIGH,0.7667,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0103910030,"SWINE, WEIGHING 23 KG OR MORE BUT LESS THAN 50 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",040210,PORK CHOPS,MEDIUM,0.4417,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0103920000,"SWINE, WEIGHING 50 KG OR MORE EACH, LIVE, NESOI",040410,OTHER PORK,HIGH,1.0,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0103920000,"SWINE, WEIGHING 50 KG OR MORE EACH, LIVE, NESOI",040210,PORK CHOPS,MEDIUM-HIGH,0.675,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0103920010,"SWINE, WEIGHING 50 KG OR MORE EACH, IMPORTED FOR IMMEDIATE SLAUGHTER, LIVE, EXCEPT PUREBRED BREEDING",040410,OTHER PORK,HIGH,0.72,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0103920020,"SWINE, WEIGHING 50 KG OR MORE EACH, LIVE, BREEDING, EXCEPT PUREBRED, IMMEDIATE SLAUGHTER",040410,OTHER PORK,HIGH,0.72,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0103920091,"SWINE, WEIGHING 50 KG OR MORE EACH, LIVE, EXCEPT IMMEDIATE SLAUGHTER, PUREBRED BREEDING, BREEDING",040410,OTHER PORK,HIGH,0.72,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0105110010,"CHICKENS, WEIGHING NOT MORE THAN 185 G EACH, BREEDING STOCK, LAYER-TYPE (EGG-TYPE), LIVE",080110,EGGS,HIGH,0.72,anchor tokens: EGGS; HS10 tokens matched: EGG,deterministic,1.0
0201100090,"CARCASSES AND HALF-CARCASSES OF BOVINE ANIMALS, EXCEPT VEAL, FRESH OR CHILLED, NESOI",030810,OTHER BEEF,HIGH,0.7083,anchor tokens: BEEF; HS10 tokens matched: BOVINE,deterministic,1.0
0201100090,"CARCASSES AND HALF-CARCASSES OF BOVINE ANIMALS, EXCEPT VEAL, FRESH OR CHILLED, NESOI",030110,GROUND BEEF,HIGH,0.7083,anchor tokens: BEEF; HS10 tokens matched: BOVINE,deterministic,1.0
0201105090,"CARCASSES AND HALF-CARCASSES OF BOVINE ANIMALS, EXCEPT VEAL, FRESH OR CHILLED, NESOI",030810,OTHER BEEF,HIGH,0.7083,anchor tokens: BEEF; HS10 tokens matched: BOVINE,deterministic,1.0
0201105090,"CARCASSES AND HALF-CARCASSES OF BOVINE ANIMALS, EXCEPT VEAL, FRESH OR CHILLED, NESOI",030110,GROUND BEEF,HIGH,0.7083,anchor tokens: BEEF; HS10 tokens matched: BOVINE,deterministic,1.0
0201201000,"BEEF WITH BONE IN, HIGH QUALITY CUTS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3",030810,OTHER BEEF,HIGH,0.7083,anchor tokens: BEEF,deterministic,1.0
0201201000,"BEEF WITH BONE IN, HIGH QUALITY CUTS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3",030110,GROUND BEEF,HIGH,0.7083,anchor tokens: BEEF,deterministic,1.0
0201300200,"BEEF, BONELESS, HIGH-QUALITY CUTS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15",030810,OTHER BEEF,HIGH,0.72,anchor tokens: BEEF,deterministic,1.0
0201300200,"BEEF, BONELESS, HIGH-QUALITY CUTS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15",030110,GROUND BEEF,HIGH,0.72,anchor tokens: BEEF,deterministic,1.0
0201301000,"BEEF, BONELESS, HIGH QUALITY CUTS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3",030810,OTHER BEEF,HIGH,0.72,anchor tokens: BEEF,deterministic,1.0
0201301000,"BEEF, BONELESS, HIGH QUALITY CUTS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3",030110,GROUND BEEF,HIGH,0.72,anchor tokens: BEEF,deterministic,1.0
0202100090,"CARCASSES AND HALF-CARCASSES OF BOVINE ANIMALS, EXCEPT VEAL, FROZEN, NESOI",030810,OTHER BEEF,HIGH,0.72,anchor tokens: BEEF; HS10 tokens matched: BOVINE,deterministic,1.0
0202100090,"CARCASSES AND HALF-CARCASSES OF BOVINE ANIMALS, EXCEPT VEAL, FROZEN, NESOI",030110,GROUND BEEF,HIGH,0.72,anchor tokens: BEEF; HS10 tokens matched: BOVINE,deterministic,1.0
0202105090,"CARCASSES AND HALF-CARCASSES OF BOVINE ANIMALS, EXCEPT VEAL, FROZEN, NESOI",030810,OTHER BEEF,HIGH,0.72,anchor tokens: BEEF; HS10 tokens matched: BOVINE,deterministic,1.0
0202105090,"CARCASSES AND HALF-CARCASSES OF BOVINE ANIMALS, EXCEPT VEAL, FROZEN, NESOI",030110,GROUND BEEF,HIGH,0.72,anchor tokens: BEEF; HS10 tokens matched: BOVINE,deterministic,1.0
0202200200,"BEEF WITH BONE IN, HIGH QUALITY CUTS, PROCESSED, FROZEN, AS SPECIFIED IN GENERAL NOTE 15",030810,OTHER BEEF,HIGH,0.72,anchor tokens: BEEF,deterministic,1.0
0202200200,"BEEF WITH BONE IN, HIGH QUALITY CUTS, PROCESSED, FROZEN, AS SPECIFIED IN GENERAL NOTE 15",030110,GROUND BEEF,HIGH,0.72,anchor tokens: BEEF,deterministic,1.0
0202201000,"BEEF WITH BONE IN, HIGH QUALITY CUTS, PROCESSED, FROZEN, AS SPECIFIED IN US NOTE 3",030810,OTHER BEEF,HIGH,0.72,anchor tokens: BEEF,deterministic,1.0
0202201000,"BEEF WITH BONE IN, HIGH QUALITY CUTS, PROCESSED, FROZEN, AS SPECIFIED IN US NOTE 3",030110,GROUND BEEF,HIGH,0.72,anchor tokens: BEEF,deterministic,1.0
0202300200,"BEEF, BONELESS, HIGH QUALITY CUTS, PROCESSED, FROZEN, AS SPECIFIED IN GENERAL NOTE 15",030810,OTHER BEEF,HIGH,0.7375,anchor tokens: BEEF,deterministic,1.0
0202300200,"BEEF, BONELESS, HIGH QUALITY CUTS, PROCESSED, FROZEN, AS SPECIFIED IN GENERAL NOTE 15",030110,GROUND BEEF,HIGH,0.7375,anchor tokens: BEEF,deterministic,1.0
0202301000,"BEEF, BONELESS, HIGH QUALITY CUTS, PROCESSED, FROZEN, AS SPECIFIED IN US NOTE 3",030810,OTHER BEEF,HIGH,0.7375,anchor tokens: BEEF,deterministic,1.0
0202301000,"BEEF, BONELESS, HIGH QUALITY CUTS, PROCESSED, FROZEN, AS SPECIFIED IN US NOTE 3",030110,GROUND BEEF,HIGH,0.7375,anchor tokens: BEEF,deterministic,1.0
0203110000,"CARCASSES AND HALF-CARCASSES OF SWINE, FRESH OR CHILLED",040410,OTHER PORK,HIGH,0.7375,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203110000,"CARCASSES AND HALF-CARCASSES OF SWINE, FRESH OR CHILLED",040210,PORK CHOPS,MEDIUM,0.4125,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203121000,"HAMS, SHOULDERS AND CUTS THEREOF, OF SWINE, WITH BONE IN, PROCESSED, FRESH OR CHILLED",040410,OTHER PORK,HIGH,0.7,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203121010,"HAMS AND CUTS THEREOF, OF SWINE, WITH BONE IN, PROCESSED, FRESH OR CHILLED",040410,OTHER PORK,HIGH,0.7083,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203121020,"SHOULDERS AND CUTS THEREOF, OF SWINE, WITH BONE IN, PROCESSED, FRESH OR CHILLED",040410,OTHER PORK,HIGH,0.7083,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203129000,"HAMS, SHOULDERS AND CUTS THEREOF, OF SWINE, WITH BONE IN, FRESH OR CHILLED, EXCEPT PROCESSED",040410,OTHER PORK,HIGH,0.7,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203129010,"HAMS AND CUTS THEREOF, OF SWINE, WITH BONE IN, FRESH OR CHILLED, EXCEPT PROCESSED",040410,OTHER PORK,HIGH,0.7083,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203129020,"SHOULDERS AND CUTS THEREOF, OF SWINE, WITH BONE IN, FRESH OR CHILLED, EXCEPT PROCESSED",040410,OTHER PORK,HIGH,0.7083,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203192000,"MEAT OF SWINE, EXCEPT CARCASSES AND HALF-CARCASSES, HAMS, SHOULDER CUTS THEREOF WITH BONE IN, PROCESSED, FRESH OR CHILLED, NESOI",040410,OTHER PORK,MEDIUM-HIGH,0.685,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203192010,"SPARE RIBS OF SWINE, PROCESSED, FRESH OR CHILLED",040410,OTHER PORK,HIGH,0.7375,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203192010,"SPARE RIBS OF SWINE, PROCESSED, FRESH OR CHILLED",040210,PORK CHOPS,MEDIUM,0.4125,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203192090,"MEAT OF SWINE, EXCEPT CARCASSES AND HALF-CARCASSES, HAMS, SHOULDER CUTS THEREOF WITH BONE IN, PROCESSED, FRESH OR CHILLED, NESOI",040410,OTHER PORK,MEDIUM-HIGH,0.685,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203194000,"MEAT OF SWINE, EXCEPT CARCASSES AND HALF-CARCASSES, HAMS, SHOULDER CUTS THEREOF WITH BONE IN, NOT PROCESSED, FRESH OR CHILLED, NESOI",040410,OTHER PORK,MEDIUM-HIGH,0.685,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203194010,"BELLIES OF SWINE, FRESH OR CHILLED, EXCEPT PROCESSED",040410,OTHER PORK,HIGH,0.7667,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203194010,"BELLIES OF SWINE, FRESH OR CHILLED, EXCEPT PROCESSED",040210,PORK CHOPS,MEDIUM,0.4417,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
0203194090,"MEAT OF SWINE, EXCEPT CARCASSES AND HALF-CARCASSES, HAMS, SHOULDER CUTS THEREOF WITH BONE IN, NOT PROCESSED, FRESH OR CHILLED, NESOI",040410,OTHER PORK,MEDIUM-HIGH,0.685,anchor tokens: PORK; HS10 tokens matched: SWINE,deterministic,1.0
